Book,Author(s),Original language,First published,Approximate sales in millions,Genre,descripcion
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65.0,Fantasy,RESUMEN: EL ALQUIMISTA (THE ALCHEMIST)– BASADO EN EL LIBRO DE PAULO COELHO ¿Estás listo para potenciar tu conocimiento sobre “EL ALQUIMISTA”? ¿Quieres aprender de manera rápida y concisa las lecciones clave de este libro? ¿Estás preparado para procesar la información de todo un libro en tan solo una lectura de aproximadamente 20 minutos? ¿Te gustaría tener una comprensión más profunda de las técnicas y ejercicios del libro original? ¡Entonces este libro es para ti! CONTENIDO DEL LIBRO: El Joven Pastor de Andalucía El Sueño y la Profecía En Busca de un Tesoro El Viaje Comienza Encuentros en el Camino El Lenguaje del Universo El Oasis en el Desierto El Amor que Transforma Las Lecciones del Alquimista La Ruta de las Señales Las Pruebas del Desierto El Descubrimiento Interior El Poder de la Fe El Regreso al Origen El Tesoro en el Corazón
The Catcher in the Rye,J. D. Salinger,English,1951,65.0,Coming-of-age,"RESUMEN COMPLETO: EL GUARDIAN ENTRE EL CENTENO (THE CATCHER IN THE RYE) - BASADO EN EL LIBRO DE J. D. SALINGER ¿Estás listo para potenciar tu conocimiento sobre ""EL GUARDIAN ENTRE EL CENTENO""? ¿Quieres aprender de manera rápida y concisa las lecciones clave de este libro? ¿Estás preparado para procesar la información de todo un libro en tan solo una lectura de aproximadamente 20 minutos? ¿Te gustaría tener una comprensión más profunda de las técnicas y ejercicios del libro original? ¡Entonces este libro es para ti! CONTENIDO DEL LIBRO: Análisis De Los Temas Alienación Falsedad Sexualidad El Dolor De Crecer"
The Bridges of Madison County,Robert James Waller,English,1992,60.0,Romance,"Fall in love with one of the bestselling novels of all time -- the legendary love story that became a beloved film starring Clint Eastwood and Meryl Streep. If you've ever experienced the one true love of your life, a love that for some reason could never be, you will understand why readers all over the world are so moved by this small, unknown first novel that they became a publishing phenomenon and #1 bestseller. The story of Robert Kincaid, the photographer and free spirit searching for the covered bridges of Madison County, and Francesca Johnson, the farm wife waiting for the fulfillment of a girlhood dream, The Bridges of Madison County gives voice to the longings of men and women everywhere -- and shows us what it is to love and be loved so intensely that life is never the same again."
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50.0,Historical fiction,"In ""Ben-Hur: A Tale of the Christ,"" Lew Wallace masterfully intertwines a gripping narrative of betrayal, redemption, and faith set against the backdrop of ancient Rome. Wallace employs a rich, descriptive literary style that captures the tumultuous atmosphere of the era, while the novel's structure interlaces an epic adventure with a powerful exploration of Christian themes. The story follows Judah Ben-Hur, a Jewish prince falsely accused of treason, whose journey takes him from the heights of nobility to the depths of despair and ultimately leads him to encounter Christ. This 19th-century work, emerging from the historical fiction genre, offers readers a profound reflection on the moral questions of vengeance and forgiveness, embodying the spirit of its time—a period marked by spiritual upheaval and burgeoning interest in biblical narratives. Lew Wallace was not only a writer but also a Union general during the American Civil War, a lawyer, and a politician, factors that shaped his worldview and narrative voice. His varied experiences imbued his storytelling with a sense of depth and authenticity, while his conversion to Christianity in later life influenced the conception of this work. Wallace sought to create a story that would inspire faith and moral contemplation, reflecting his desire to bridge the secular with the sacred. ""Ben-Hur"" is recommended for readers who appreciate historical fiction laced with spiritual inquiry. It resonates across generations, inviting contemplation on the complexities of the human condition and the enduring power of grace. This novel not only offers an engaging tale but also serves as a meaningful exploration of themes that remain relevant today."
You Can Heal Your Life,Louise Hay,English,1984,50.0,Self-help,"AN INTERNATIONAL SENSATION AND A NEW YORK TIMES BESTSELLER THAT SOLD OVER 50 MILLION COPIES THE DEFINITIVE GUIDE ON SELF-HEALING, AFFIRMATIONS, AND THE POWER OF THE MIND TO HEAL THE BODY “Louise Hay writes to your soul—where all healing begins. I love this book . . . and I love Louise Hay.” — Dr. Wayne W. Dyer, author of The Power of Intention You Can Heal Your Life has transformed the lives of millions of people. This is a book that people credit with profoundly altering their awareness of the impact that the mind has on their health and wellbeing. In this inspirational book by bestselling author and self-help pioneer Louise Hay, you’ll find profound insight into the relationship between the mind and the body. Exploring the way that limiting thoughts and ideas control and constrict us, she offers us a powerful key to understanding the roots of our physical dis-eases and discomforts. Full of positive affirmations, this practical guidebook will change the way you think forever! Louise Hay is an internationally known leader in the self-help field. Her key message is: ""If we are willing to do the mental work, almost anything can be healed."" Louise Hay had a great deal of experience and firsthand information to share about healing, including how she cured herself after being diagnosed with cancer. Chapters Include: Part 1 - Introduction · Suggestions to My Readers · Some Points of My Philosophy · What I Believe Part II - A Session with Louise · What Is the Problem? · Where Does It Come From? · Is It True? · What Do We Do Now? · Resistance To Change · How To Change · Building The New · Daily Work Part III - Putting These Ideas to Work · Relationships · Work · Success · Prosperity · The Body · The List “My message is simple and not confined by borders: You Can Heal Your Life has been translated into over 40 languages throughout the world and continues to heal, transform and empower the lives of so many people. To those of you who may be new to using affirmations, I’d like to share with you the following: Every thought we think and every word we speak creates our future. Life is really very simple. What we give out, we get back. What we think about ourselves becomes the truth for us. I believe that everyone, myself included, is responsible for everything in our lives, the best and the worst. Affirmations are like seeds that you plant and expect to grow. I urge you to discover the power of affirmations as there are no limits to what they can bring. All is well, you are safe. Life loves you, and so do I.” —Louise Hay"
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50.0,Magic realism,"“Muchos años después, frente al pelotón de fusilamiento, el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo”. Con estas palabras empieza una novela ya legendaria en los anales de la literatura universal, una de las aventuras literarias más fascinantes del siglo xx. Millones de ejemplares de Cien años de soledad leídos en todas las lenguas y el Premio Nobel de Literatura coronando una obra que se había abierto paso a “boca a boca” —como gusta decir el escritor— son la más palpable demostración de que la aventura fabulosa de la familia Buendía-Iguarán, con sus milagros, fantasías, obsesiones, tragedias, incestos, adulterios, rebeldías, descubrimientos y condenas, representaba al mismo tiempo el mito y la historia, la tragedia y el amor del mundo entero. ENGLISH DESCRIPTION ""One Hundred Years of Solitude is the first piece of literature since the Book of Genesis that should be required reading for the entire human race. . . . Mr. Garcia Marquez has done nothing less than to create in the reader a sense of all that is profound, meaningful, and meaningless in life."" —William Kennedy, New York Times Book Review One of the most influential literary works of our time, One Hundred Years of Solitude remains a dazzling and original achievement by the masterful Gabriel Garcia Marquez, winner of the Nobel Prize in Literature. One Hundred Years of Solitude tells the story of the rise and fall, birth and death of the mythical town of Macondo through the history of the Buendiá family. Inventive, amusing, magnetic, sad and alive with unforgettable men and women—brimming with truth, compassion, and a lyrical magic that strikes the soul—this novel is a masterpiece in the art of fiction."
Lolita,Vladimir Nabokov,English,1955,50.0,Novel,"ResumenExpress.com presenta y analiza en esta guía de lectura Lolita, la provocadora y ácida novela de Vladimir Nabokov. En ella, el autor narra con maestría la historia de la obsesión del cuadragenario Humbert por la joven Dolores Haza, de solo 13 años. Una magistral obra con un trasfondo psicológico que mezcla atracción e incesto y que no deja a nadie indiferente. ¡Ya no tienes que leer y resumir todo el libro, nosotros lo hemos hecho por ti! Esta guía incluye: • Un resumen completo del libro • Un estudio de los personajes • Las claves de lectura • Pistas para la reflexión ¿Por qué elegir ResumenExpress.com? Para aprender de forma rápida. Porque nuestras publicaciones están escritas con un estilo claro y conciso que te ayudará a ganar tiempo y a entender las obras sin esfuerzo. Disponibles en formato impreso y digital, te acompañarán en tu aventura literaria. Toma una dosis de literatura acelerada con ResumenExpress.com"
Heidi,Johanna Spyri,German,1880,50.0,Children's fiction,"Heidi es una conmovedora exploración de la infancia, la naturaleza y el poder del amor y la bondad en la transformación personal. Johanna Spyri presenta un retrato entrañable de la vida en los Alpes suizos, donde la protagonista, una niña huérfana, descubre la felicidad en la sencillez del campo y el afecto de su abuelo. La novela aborda la oposición entre la vida rural y urbana, resaltando la importancia de la libertad, la autenticidad y el vínculo con la naturaleza en el desarrollo emocional de los personajes. Desde su publicación, Heidi ha sido celebrada por su calidez y profundidad emocional. Su exploración de temas universales como la amistad, la resiliencia y la influencia del entorno en la identidad ha asegurado su lugar como una obra fundamental de la literatura infantil. Los personajes entrañables y la evocadora descripción de los paisajes alpinos siguen cautivando a lectores de todas las edades, ofreciendo una visión intemporal sobre la alegría, la compasión y la redención. La relevancia perdurable de la novela radica en su capacidad para transmitir valores esenciales a través de una historia sencilla pero profundamente significativa. Al mostrar la transformación de los personajes a través del amor y la generosidad, Heidi invita a los lectores a reflexionar sobre la importancia de la empatía y la conexión humana en la construcción de una vida plena."
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50.0,Manual,Sin descripción
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50.0,Children's novel,"Orphan Anne has always dreamed of being part of a proper family. So when she's chosen to go and live with the Cuthberts, life looks grand. But the Cuthberts wanted a little boy to help them on Green Gables farm, not a girl."
Black Beauty,Anna Sewell,English,1877,50.0,Children's literature,"A novel of animal cruelty, told from the point of view of a horse."
The Eagle Has Landed,Jack Higgins,English,1975,50.0,"War, thriller","If there is one modeller that has distinguished himself over the last decade, due to his amazing dioramas, it is Aitor Azkue. This book shows off the very best of all of his work. With spectacular dioramas, more than 1800 images, step by step guides, and all of his tricks described in detail, there is no book quite like this. Inside the 292 pages of this essential book, there are 10 complete dioramas looked at in total detail."
Watership Down,Richard Adams,English,1972,50.0,Fantasy,"Watership Down by Richard Adams is a true classic. This stirring tale of courage and survival against the odds has become one of the best-loved animal adventures of all time. 'We've got to go away before it's too late.' Fiver was only a small rabbit, but he had a sixth sense and foresaw that disaster was about to destroy the warren. Few believed him. Led by his brother Hazel, a small band of rabbits set out on a perilous journey to find a safe home. Fiver's intuition finally leads them to Watership Down. But here they encounter the greatest threat of all. ***Winner of the Carnegie Medal and the Guardian Children's Fiction Prize*** 'A gripping story of rebellion in a rabbit warren and the subsequent adventures of the rebels. Adams has a poetic eye and a gift for storytelling which will speak to readers of all ages for many years to come' Sunday Times 'A masterpiece. The best story about wild animals since The Wind in the Willows. Very funny, exciting, often moving' Evening Standard 'A great book. A whole world is created, perfectly real in itself, yet constituting a deep incidental comment on human affairs' Guardian Richard Adams grew up in Berkshire, the son of a country doctor. After an education at Oxford, he spent six years in the army and then went into the Civil Service. He originally began telling the story of Watership Down to his two daughters and they insisted he publish it as a book. It quickly became a huge success with both children and adults, and won the Guardian Children's Fiction Award and the Carnegie Medal in 1972. Richard Adams has written many novels and short stories, including Shardik and The Plague Dogs."
The Hite Report,Shere Hite,English,1976,50.0,Sexology,"A reproduction of the classic text, unavailable now for more than a decade, with a new introduction by the author. The Hite Report, first published in 1976, was a sexual revolution in six hundred pages. To answer sensitive questions dealing with the most intimate details of women's sexuality, Hite's innovation was simple: she asked women, a lot of them, everything--and published the results. One hundred thousand women, ages fourteen to seventy-eight, were asked what they do and don't like about sex; how orgasm really feels, with and without intercourse; how it feels not to have an orgasm during sex; the importance of clitoral stimulation and masturbation; and to name the greatest pleasures and frustrations of their sexual lives, among many other questions. The Hite Report declares that orgasm is easy and strong for women, given the right stimulation; that most women have orgasm most easily during masturbation or clitoral stimulation by hand; that sex as we define it is a cultural institution, not a biological one; and that attitudes must change to include the stimulation women desire."
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50.0,Children's fiction,"Esta es la historia de una nina llamada Fern que quiere mucho a un cerdito llamado Wilbur, y de la amistad que existe entre Wilbur y Carlota--una hermosa arana gris que vive con el en su granero. Con la ayuda de algunos de sus amigos de la granja, Carlota logra salvarle la vida al magnifico cerdo. El mensaje sobre la amistad, la lealtad y la sinceridad que contiene este relato perdura a traves del tiempo."
The Ginger Man,J. P. Donleavy,English,1955,50.0,Novel,"Litterær selvbiografi om de fire år i Irland og America, men han skrev ""The ginger man"""
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45.0,Children's Literature,Peter disobeys his mother by going into Mr. McGregor's garden and almost gets caught.
Jonathan Livingston Seagull,Richard Bach,English,1970,44.0,"Novella, Self-help","More concerned with the dynamics of his flight than with gathering food, Jonathan is scorned by the other seagulls."
The Very Hungry Caterpillar,Eric Carle,English,1969,43.0,"Children's Literature, picture book",Eric Carle's The Very Hungry Caterpillar is a perennial favourite with children and adults alike. Its imaginative illustration and clever cut-out detail charts the progress of a very hungry caterpillar as he eats his way through the week. The e-book format of this classic makes the perfect addition to your child's digital library.
A Message to Garcia,Elbert Hubbard,English,1899,40.0,Essay/Literature,"A Message to Garcia is a widely distributed essay written by Elbert Hubbard in 1899. Hubbard was inspired by a daring escapade performed by an American soldier, 1st Lt. Andrew S. Rowan, just prior to the Spanish–American War. According to Hubbard, Rowan carried a message from President William McKinley to ""Gen. Calixto García, a leader of the Cuban insurgents somewhere in the mountain fastness of Cuba—no one knew where."" Hubbard compared Rowan's heroic effort to ""the imbecility of the average man—the inability or unwillingness to concentrate on a thing and do it."""
To Kill a Mockingbird,Harper Lee,English,1960,40.0,"Southern Gothic, Bildungsroman","Harper Lee's Pulitzer Prize-winning masterwork of honor and injustice in the deep South -- and the heroism of one man in the face of blind and violent hatred One of the best-loved stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than thirty million copies worldwide, served as the basis of an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father -- a crusading local lawyer -- risks everything to defend a black man unjustly accused of a terrible crime."
Flowers in the Attic,V. C. Andrews,English,1979,40.0,"Gothic horror, Family saga","Celebrate the fortieth anniversary of the enduring gothic masterpiece Flowers in the Attic—the unforgettable forbidden love story that earned V.C. Andrews a fiercely devoted fan base and became an international cult classic. At the top of the stairs there are four secrets hidden—blond, innocent, and fighting for their lives… They were a perfect and beautiful family—until a heartbreaking tragedy shattered their happiness. Now, for the sake of an inheritance that will ensure their future, the children must be hidden away out of sight, as if they never existed. They are kept in the attic of their grandmother’s labyrinthine mansion, isolated and alone. As the visits from their seemingly unconcerned mother slowly dwindle, the four children grow ever closer and depend upon one another to survive both this cramped world and their cruel grandmother. A suspenseful and thrilling tale of family, greed, murder, and forbidden love, Flowers in the Attic is the unputdownable first novel of the epic Dollanganger family saga. The Dollanganger series includes: Flowers in the Attic, Petals in the Wind, If There Be Thorns, Seeds of Yesterday, Garden of Shadows, Beneath the Attic, and Out of the Attic."
Cosmos,Carl Sagan,English,1980,40.0,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History",Sin descripción
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40.0,"Philosophical novel, Young adult","The international bestseller about life, the universe and everything. 'A simply wonderful, irresistible book' DAILY TELEGRAPH 'A terrifically entertaining and imaginative story wrapped round its tough, thought-provoking philosophical heart' DAILY MAIL 'Remarkable ... an extraordinary achievement' SUNDAY TIMES When 14-year-old Sophie encounters a mysterious mentor who introduces her to philosophy, mysteries deepen in her own life. Why does she keep getting postcards addressed to another girl? Who is the other girl? And who, for that matter, is Sophie herself? To solve the riddle, she uses her new knowledge of philosophy, but the truth is far stranger than she could have imagined. A phenomenal worldwide bestseller, SOPHIE'S WORLD sets out to draw teenagers into the world of Socrates, Descartes, Spinoza, Hegel and all the great philosophers. A brilliantly original and fascinating story with many twists and turns, it raises profound questions about the meaning of life and the origin of the universe."
Angels & Demons,Dan Brown,English,2000,39.0,Mystery-thriller,"El thriller electrizante que introdujo a Robert Langdon en un mundo de secretos ancestrales y conspiraciones mortales--Ángeles y Demonios de Dan Brown, el autor de bestsellers #1 del New York Times, como El Código Da Vinci y El Símbolo Perdido. Celebrando el 20 aniversario de la creación de Robert Langdon, su legendario protagonista. Robert Langdon, experto en simbología, es convocado a un centro de investigación suizo para analizar un misterioso signo marcado a fuego en el pecho de un físico asesinado. Allí, Langdon descubre el resurgimiento de una antigua hermandad secreta: los Illuminati, que han emergido de las sombras para llevar a cabo la fase final de una legendaria venganza contra su enemigo más odiado: la Iglesia católica. Los peores temores de Langdon se confirman cuando los Illuminati anuncian que han escondido una bomba en el corazón de la Ciudad del Vaticano. Con la cuenta atrás en marcha, Langdon viaja a Roma para unir fuerzas con Vittoria Vetra, una bella y misteriosa científica. Los dos se embarcarán en una desesperada carrera contrarreloj por los rincones menos conocidos del Vaticano. Ángeles y Demonios, la primera aventura del carismático e inolvidable Robert Langdon, es un adictivo y trepidante thriller sobre la eterna pugna entre ciencia y religión. Esta lucha se convierte en una verdadera guerra que pondrá en jaque a toda la humanidad, que deberá luchar hasta el último minuto para evitar un gran desastre. ENGLISH DESCRIPTION The electrifying thriller that launched Robert Langdon into the world of ancient secrets and deadly conspiracies --Angels & Demons by Dan Brown, the #1 New York Times bestselling author of The Da Vinci Code and The Lost Symbol. Celebrating 20 years of Robert Langdon, the legendary protagonist. Renowned symbologist Robert Langdon is urgently called to a Swiss research facility to examine a mysterious symbol branded onto the chest of a murdered physicist. There, he uncovers the resurgence of an ancient secret society--the Illuminati, emerging from the shadows to execute the final stage of their legendary revenge against their greatest enemy: the Catholic Church. Langdon's worst fears are confirmed when the Illuminati announce that they have hidden a bomb in the heart of Vatican City. With the countdown already underway, Langdon rushes to Rome, teaming up with Vittoria Vetra, a brilliant and enigmatic scientist. Together, they embark on a desperate race against time, navigating the Vatican's most hidden corners in a high-stakes search for answers. Angels & Demons, the first thrilling adventure starring the unforgettable Robert Langdon, is an intense, gripping page-turner that explores the timeless clash between science and religion --a battle that soon escalates into a full-blown war, threatening to bring humanity to the brink of disaster."
Kane and Abel,Jeffrey Archer,English,1979,37.0,Novel,"Nacidos el mismo día del siglo en partes opuestas del mundo, el destino y la búsqueda de un sueño acaba por hacer que estos dos hombres se crucen. Ambiciosos, poderosos, implacables, ambos se enzarzan en una incansable lucha por construir un imperio, azuzados por el incombustible odio que sienten el uno hacia el otro. Durante más de sesenta años y tres generaciones, entre guerras, matrimonios, golpes de suerte y desastres, Kane y Aben batallan para conseguir un éxito y un triunfo que solo uno de los dos podrá alcanzar. Kane y Abel ha vendido más de 33 millones de copias en todo el mundo en ochenta y cuatro ediciones hasta la fecha. Tal y como el propio Jeffrey Archer comenta en la edición del trigésimo aniversario: «Kane y Abel fue el pistoletazo de salida de mi carrera como escritor, y hasta la fecha sigue siendo el más popular de todos mis libros. Por ese motivo, treinta años después de su publicación, me propuse el reto de reescribirlo, aunque sería más acertado llamar «reelaboración» a la tarea a la que me dediqué durante los siguientes nueve meses, pues a pesar de las numerosas revisiones que llevé a cabo, la trama sigue intacta». «Espero que los lectores pasados sepan apreciar esta edición conmemorativa, y que los nuevos lectores disfruten de su primer encuentro con William Lowell Kane y Abel Rosnovski» - Jeffrey Archer. Jeffrey Archer es un autor y ex-político británico. La carrera política de Archer ha sido turbulenta y le llevó a un veredicto judicial que lo sentenció a prisión en 2001. Archer debutó como escritor en 1974 y desde entonces ha escrito numerosos libros, principalmente thrillers políticos. Actualmente es uno de los autores más exitosos del Reino Unido con más de 320 millones de libros vendidos en todo el mundo."
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35.0,"Fantasy, Children's fiction","Carved from a piece of pine by a woodcarver named Geppetto in a small Italian village, Pinocchio was created as a wooden puppet, but dreamt of becoming a real boy."
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35.0,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature",Sin descripción
Your Erroneous Zones,Wayne Dyer,English,1976,35.0,Self-help,"If you are plagued by guilt or worry and find yourself unwittingly falling into the same old self-destructive patterns, then you have ""erroneous zones""--whole facets of your approach to life that act as barriers to your success and happiness. Now Dr. Dyer teaches how to take charge of your emotions and control your worries."
The Thorn Birds,Colleen McCullough,English,1977,33.0,Romantic family saga,"“Beautiful….Compelling entertainment.” —New York Times One of the most beloved novels of all time, The Thorn Birds, Colleen McCullough’s sweeping family saga of dreams, titanic struggles, dark passions, and forbidden love in the Australian Outback, returns to enthrall a new generation. The Thorn Birds is a chronicle of three generations of Clearys—an indomitable clan of ranchers carving lives from a beautiful, hard land while contending with the bitterness, frailty, and secrets that penetrate their family. It is a poignant love story, a powerful epic of struggle and sacrifice, a celebration of individuality and spirit. Most of all, it is the story of the Clearys' only daughter, Meggie, and the haunted priest, Father Ralph de Bricassart—and the intense joining of two hearts and souls over a lifetime, a relationship that dangerously oversteps sacred boundaries of ethics and dogma. “A heart-rending epic…truly marvelous.” —Chicago Tribune"
The Purpose Driven Life,Rick Warren,English,2002,33.0,Christian literature,"Rick Warren helps readers to discover, develop, and fulfill God's purpose for their lives."
